threshold,f1_1,recall_1
1,0.5900900900900901,0.6238095238095238
2,0.49266862170087977,0.4
3,0.3382352941176471,0.21904761904761905
4,0.14977973568281938,0.08095238095238096
5,0.046511627906976744,0.023809523809523808
