method,accuracy,precision_1,recall_1,f1_1
baseline_heuristic,0.5704057279236276,0.5650224215246636,0.6028708133971292,0.5833333333333334
baseline_features_lr,0.5918854415274463,0.6091954022988506,0.507177033492823,0.5535248041775457
ai_minilm_embed_lr,0.8329355608591885,0.8325358851674641,0.8325358851674641,0.8325358851674641
